quote,author,source,low_text
"На цябе, наша моладзь, надзея
Нашай сумнай, забранай зямлi.
Твой арлiны палёт цьмы развее
I запалiць веквечны агнi.

Ты разбудзiш прыспаныя сiлы
I на вольны паклiчаш прастор
З забыцця беспрасветнай магiлы
Да блiскучага сонца, да зор!",Янка Купала,dumki.org,на цябе наша моладзь надзея нашай сумнай забранай зямлi твой арлiны палёт цьмы развее i запалiць веквечны агнi ты разбудзiш прыспаныя сiлы i на вольны паклiчаш прастор з забыцця беспрасветнай магiлы да блiскучага сонца да зор
"Дурню плюнь у вочы, а ён скажа: дождж ідзе!",Янка Купала,dumki.org,дурню плюнь у вочы а ён скажа дождж ідзе
"Чалавек з зямлёй зрастаецца, як гэта дрэва: ссячы дрэўца — засохне, адбяры ў чалавека зямлю — згіне",Янка Купала,dumki.org,чалавек з зямлёй зрастаецца як гэта дрэва ссячы дрэўца — засохне адбяры ў чалавека зямлю — згіне
"Хай толькі асвеціць Вас адна вялікая думака, ‒ аддаць усё для сваёй Бацькаўшчыны, нават жыццё, калі яна Вас да гэтага пакліча",Янка Купала,dumki.org,хай толькі асвеціць вас адна вялікая думака ‒ аддаць усё для сваёй бацькаўшчыны нават жыццё калі яна вас да гэтага пакліча
"...ніколі ня будзем шчаслівы, пакуль чужая воля будзе гаспадаром над нашай воляй. Каб гэтага не было, мы павінны растаптаць, зніштожыць даўгавечную ману, якая вучыць, што мы ня ёсць мы, што мы нейкае нешта, якое абы накарміў, як быдла, дык і сыта будзе",Янка Купала,dumki.org,ніколі ня будзем шчаслівы пакуль чужая воля будзе гаспадаром над нашай воляй каб гэтага не было мы павінны растаптаць зніштожыць даўгавечную ману якая вучыць што мы ня ёсць мы што мы нейкае нешта якое абы накарміў як быдла дык і сыта будзе
"...Калісь амэрыканцы, змагаючыся з Англіяй за сваю Незалежнасьць, напісалі на сваім сцягу несмяротныя словы: ""Амэрыка для амэрыканцаў"". І гэта памагло: сягоння Амэрыка вольная. Павінны пайсці і мы па яе слядох і напісаць агністымі рунамі на сваім сцягу: ""БЕЛАРУСЬ ДЛЯ БЕЛАРУСАЎ!",Янка Купала,dumki.org,калісь амэрыканцы змагаючыся з англіяй за сваю незалежнасьць напісалі на сваім сцягу несмяротныя словы амэрыка для амэрыканцаў і гэта памагло сягоння амэрыка вольная павінны пайсці і мы па яе слядох і напісаць агністымі рунамі на сваім сцягу беларусь для беларусаў
"Ганьба таму чалавеку, што рукі апусціць, як перавяслы, і чакае, пакуль сама доля к яму прыйдзе ў хату і папросіцца, каб прыняў яе з ласкі свае! Ганьба таму, хто, вочы на ўсё заплюшчыўшы, будзе ісці ўцёртай здавён сцежкай няпраўды і бяспраўя, думаючы, што іначай быць ніколі не можа і што не ў яго волі змяніць стары парадак бессумленнага жыцця! Ганьба таму, хто, радзіўшыся ў ярме, валочыць яго пакорна, як вол стары, не парываючыся нават хоць на час выпрагчыся з гэтага ярма, паганячага пачуццё яго чалавечае!..",Янка Купала,dumki.org,ганьба таму чалавеку што рукі апусціць як перавяслы і чакае пакуль сама доля к яму прыйдзе ў хату і папросіцца каб прыняў яе з ласкі свае ганьба таму хто вочы на ўсё заплюшчыўшы будзе ісці ўцёртай здавён сцежкай няпраўды і бяспраўя думаючы што іначай быць ніколі не можа і што не ў яго волі змяніць стары парадак бессумленнага жыцця ганьба таму хто радзіўшыся ў ярме валочыць яго пакорна як вол стары не парываючыся нават хоць на час выпрагчыся з гэтага ярма паганячага пачуццё яго чалавечае
"Спольна і згодна працаваць над адраджэньнем сваёй вялікай старонкі, здабываць для сябе лепшую долю ‒ вось наша праўдзівая мэта ў жыцьці.",Янка Купала,dumki.org,спольна і згодна працаваць над адраджэньнем сваёй вялікай старонкі здабываць для сябе лепшую долю ‒ вось наша праўдзівая мэта ў жыцьці
"Уставай жа, Беларусі Народзе! Пасылай сваіх сыноў бараніць свой мілы, любы край і стаяць на варце твайго дабра, твайго жыцця, твае незалежнай Беларускай Дзяржавы!",Янка Купала,dumki.org,уставай жа беларусі народзе пасылай сваіх сыноў бараніць свой мілы любы край і стаяць на варце твайго дабра твайго жыцця твае незалежнай беларускай дзяржавы
Воля ‒ сонейку роўня,Янка Купала,dumki.org,воля ‒ сонейку роўня
"Не шукай ты шчасця, долі. На чужым, далёкім полі",Янка Купала,dumki.org,не шукай ты шчасця долі на чужым далёкім полі
"Хай жыве светлая культурная праява, на чыей бы зямлі і ў якім бы народзе яна не праявілася",Янка Купала,dumki.org,хай жыве светлая культурная праява на чыей бы зямлі і ў якім бы народзе яна не праявілася
Голы разбою не баіцца,Янка Купала,dumki.org,голы разбою не баіцца
"Хто не разумее беларускай мовы, той не павінен займаць урадовай пасады на Беларусі",Янка Купала,dumki.org,хто не разумее беларускай мовы той не павінен займаць урадовай пасады на беларусі
"Але вырасла ўжо новая сіла, каторая павядзе за сабою беларускі народ. Ён зразумее нарэшце, што ніякая надворная апека не задаволіць яго патрэб, што ніхто не дасць спакою і парадку, апроч яго самога. Толькі ён сам уладар свае зямлі, гаспадар свайго краю, вызваліць сябе з свае нядолі. Толькі незалженая Беларусь збавіць нас раз назаўсёды ад чужой апекі і перакідвання за днаго боку на другі. Толькі Беларуская дзяржава запэўніць нам спакой, парадак і лепшую долю",Янка Купала,dumki.org,але вырасла ўжо новая сіла каторая павядзе за сабою беларускі народ ён зразумее нарэшце што ніякая надворная апека не задаволіць яго патрэб што ніхто не дасць спакою і парадку апроч яго самога толькі ён сам уладар свае зямлі гаспадар свайго краю вызваліць сябе з свае нядолі толькі незалженая беларусь збавіць нас раз назаўсёды ад чужой апекі і перакідвання за днаго боку на другі толькі беларуская дзяржава запэўніць нам спакой парадак і лепшую долю
"Хай жа Беларусь пакажа, што яе верныя сыны здольны праліваць сваю гарачую кроў не толькі на чужую карысць і панаваннне, але таксама патрапюць здабыць і для сваёй зямлі лепшую долю і лепшую славу",Янка Купала,dumki.org,хай жа беларусь пакажа што яе верныя сыны здольны праліваць сваю гарачую кроў не толькі на чужую карысць і панаваннне але таксама патрапюць здабыць і для сваёй зямлі лепшую долю і лепшую славу
"Нам даюць наш сцяг у рукі і гэты сцяг мы павінны з трыумфам вынесці на жыватворнае святло будучыны, вынесці з гордасцю, з гонарам і славай, ‒ сцяг не абы-які, а свой, беларускі",Янка Купала,dumki.org,нам даюць наш сцяг у рукі і гэты сцяг мы павінны з трыумфам вынесці на жыватворнае святло будучыны вынесці з гордасцю з гонарам і славай ‒ сцяг не абы які а свой беларускі
Беларускі сьцяг уваскрос!,Янка Купала,dumki.org,беларускі сьцяг уваскрос
"Самы найлепшы прыяцель, самы найлепшы збаўца наш ад нашага ліхалецця ‒ гэта мы самі. І калі не хочам загінуць, калі не хочам быць вечнымі рабамі,‒ павінны пакінуць мы благую прывычку думаць, што нехта прыйдзе і выратуе нас з нашай бяды, з нашай няволі. Гэта ж не можа быць, каб нехта быў лепшым прыхільнікам да нас, як мы самі для сябе",Янка Купала,dumki.org,самы найлепшы прыяцель самы найлепшы збаўца наш ад нашага ліхалецця ‒ гэта мы самі і калі не хочам загінуць калі не хочам быць вечнымі рабамі ‒ павінны пакінуць мы благую прывычку думаць што нехта прыйдзе і выратуе нас з нашай бяды з нашай няволі гэта ж не можа быць каб нехта быў лепшым прыхільнікам да нас як мы самі для сябе
"Пачнём зьбіраць зярно к зярняці, 
Былое ў думках уваскрашаць, 
Каб быт на новы лад пачаці 
І сеўбу новую пачаць",Янка Купала,dumki.org,пачнём зьбіраць зярно к зярняці былое ў думках уваскрашаць каб быт на новы лад пачаці і сеўбу новую пачаць
Дум не скуеш ланцугамі,Янка Купала,dumki.org,дум не скуеш ланцугамі
Кожнаму наканавана прайсьці свой шлях да свабоды асобна,Васіль Быкаў,dumki.org,кожнаму наканавана прайсьці свой шлях да свабоды асобна
Пакуты робяць чалавека чалавекам. Чалавек без пакут ‒ трава,Васіль Быкаў,dumki.org,пакуты робяць чалавека чалавекам чалавек без пакут ‒ трава
"Не перамогчы ў сябе карысталюбца, баязліўца, не пераможаш ворага. Гэты пытанне жыцця і пытанне гісторыі",Васіль Быкаў,dumki.org,не перамогчы ў сябе карысталюбца баязліўца не пераможаш ворага гэты пытанне жыцця і пытанне гісторыі
"Як і ўсе пакуты, адну душу яны спархняюць, а другую гартуюць да трываласці сталі",Васіль Быкаў,dumki.org,як і ўсе пакуты адну душу яны спархняюць а другую гартуюць да трываласці сталі
"Кепска неяк уладкавана ў жыцці, што ўсё ‒ і благое і добрае ‒ пазнаецца часам праз боль няўдач і памылак",Васіль Быкаў,dumki.org,кепска неяк уладкавана ў жыцці што ўсё ‒ і благое і добрае ‒ пазнаецца часам праз боль няўдач і памылак
Нявыказаная сёння праўда можа застацца нявыказанай ніколі,Васіль Быкаў,dumki.org,нявыказаная сёння праўда можа застацца нявыказанай ніколі
"Што тычыцца пазiцыi ўладаў да мяне, да гэтых усякiх кампанiй знявагi, то я скажу, што яны мяне мала чапаюць. Ад такiх улад iншага чакаць нельга. Я б куды горш сябе адчуваў, каб гэтыя ўлады пачалi мяне хвалiць, наблiжаць i адоваць прывiлеямi... А калi мяне там лаюць i паносяць гэтыя людзi, ну, мабыць, так сказаць, я ў iх вачах гэта заслужыў ‒ i гэта нармальна...",Васіль Быкаў,dumki.org,што тычыцца пазiцыi ўладаў да мяне да гэтых усякiх кампанiй знявагi то я скажу што яны мяне мала чапаюць ад такiх улад iншага чакаць нельга я б куды горш сябе адчуваў каб гэтыя ўлады пачалi мяне хвалiць наблiжаць i адоваць прывiлеямi а калi мяне там лаюць i паносяць гэтыя людзi ну мабыць так сказаць я ў iх вачах гэта заслужыў ‒ i гэта нармальна
"Пакаленні людзей, якія за шмат гадоў прызвычаіліся існаваць у дагары нагамі перакуленым свеце, па той бок славутага люстэрка, і на старасці год не здольны зразумець свае трагедыі, ‒ гэтыя пакаленні для нацыі страчаны, таксама як і для чалавецай гісторыі",Васіль Быкаў,dumki.org,пакаленні людзей якія за шмат гадоў прызвычаіліся існаваць у дагары нагамі перакуленым свеце па той бок славутага люстэрка і на старасці год не здольны зразумець свае трагедыі ‒ гэтыя пакаленні для нацыі страчаны таксама як і для чалавецай гісторыі
"...рана ці позна самы жорсткі і ўсеўладны дыктатарскі рэжым рухне. Рухне зусім не таму, што яго скінуць нейкія рэвалюцыйныя сілы, а по той прычыне, што матэрыяльна ён будзе пазбаўлены магчымасцей для развіцця",Васіль Быкаў,dumki.org,рана ці позна самы жорсткі і ўсеўладны дыктатарскі рэжым рухне рухне зусім не таму што яго скінуць нейкія рэвалюцыйныя сілы а по той прычыне што матэрыяльна ён будзе пазбаўлены магчымасцей для развіцця
"Нельга з феадалізму адразу сягнуць у сацыялізм, з эканамічнага прымітыву Верхняй Вольты інтэгравацца ў высокаразвіты Еўрапейскі Эканамічны Саюз, ад бальшавіцкага лікбезу ўзвысіцца да сучаснай еўрапейскай культуры. Мусіць, спярша трэба назапасіць эканамічны, культурны, маральны капітал",Васіль Быкаў,dumki.org,нельга з феадалізму адразу сягнуць у сацыялізм з эканамічнага прымітыву верхняй вольты інтэгравацца ў высокаразвіты еўрапейскі эканамічны саюз ад бальшавіцкага лікбезу ўзвысіцца да сучаснай еўрапейскай культуры мусіць спярша трэба назапасіць эканамічны культурны маральны капітал
Будзе незалежнай Беларусь ‒ будзе ўсё. У тым ліку мова і культура. Ня будзе незалежнасьці ‒ хутка ня будзе нічога!,Васіль Быкаў,dumki.org,будзе незалежнай беларусь ‒ будзе ўсё у тым ліку мова і культура ня будзе незалежнасьці ‒ хутка ня будзе нічога
"Нацыяналізм вялікай нацыі непазбежна перараджаецца ў шывінізм і імперыялізм, а нацыяналізм малой нацыі, якім бы ён ні быў, накіраваны перш за ўсё на выжыванне сваёй нацыі сярод іншых",Васіль Быкаў,dumki.org,нацыяналізм вялікай нацыі непазбежна перараджаецца ў шывінізм і імперыялізм а нацыяналізм малой нацыі якім бы ён ні быў накіраваны перш за ўсё на выжыванне сваёй нацыі сярод іншых
"Мы ведаем з гісторыі, што многія народы за сваю незалежнасць пралілі мора крыві. У нас жа гэта адбылося без асаблівых высілкаў і вялікіх дэбатаў... Відаць, незалежнасць патрабуе другой цаны, другой платы",Васіль Быкаў,dumki.org,мы ведаем з гісторыі што многія народы за сваю незалежнасць пралілі мора крыві у нас жа гэта адбылося без асаблівых высілкаў і вялікіх дэбатаў відаць незалежнасць патрабуе другой цаны другой платы
"Нармальны працэс культурнага развіцця павінны быў выглядаць так: спярша ў самым поўным аб’ёме – уласная культура, затым іншыя – расейская, нямецкая, польская, ангельская – чым болей, тым лепш, наколькі хапае да таго здольнасцяў грамадства ці асобнага яго члена",Васіль Быкаў,dumki.org,нармальны працэс культурнага развіцця павінны быў выглядаць так спярша ў самым поўным аб’ёме – уласная культура затым іншыя – расейская нямецкая польская ангельская – чым болей тым лепш наколькі хапае да таго здольнасцяў грамадства ці асобнага яго члена
"Нацыянальнасведамая частка грамадства наіўна кідаецца ў спрэчку наконт пераваг дзвюх граматык – Тарашкевічавай і наркомаўкі, дыскутуючы аб разыходжанні ў трактоўцы мяккасці падвоеных зычных, а ў той час камуністычныя ўлады прыбіраюць пад сваю апеку ўвесь друк, маючы на мэце канчаткова ўсталяваць расейскае аднамоўе... сацыялагічныя інстытуты і агенцтвы, што сядзяць на ўтрыманні ўрада, і ў любы момант з высмактанымі з пальцаў лічбамі могуць даказаць, што беларусы – супраць беларускай мовы, а КПБ – самая папулярная сярод іх партыя...",Васіль Быкаў,dumki.org,нацыянальнасведамая частка грамадства наіўна кідаецца ў спрэчку наконт пераваг дзвюх граматык – тарашкевічавай і наркомаўкі дыскутуючы аб разыходжанні ў трактоўцы мяккасці падвоеных зычных а ў той час камуністычныя ўлады прыбіраюць пад сваю апеку ўвесь друк маючы на мэце канчаткова ўсталяваць расейскае аднамоўе сацыялагічныя інстытуты і агенцтвы што сядзяць на ўтрыманні ўрада і ў любы момант з высмактанымі з пальцаў лічбамі могуць даказаць што беларусы – супраць беларускай мовы а кпб – самая папулярная сярод іх партыя
"...на Захадзе, дзе сацыяльныя канфлікты невялікія, дзе чалавек дасягнуў многага – ну, калі не цалкам шчаслівага, дык хоць бы забяспечанага жыцця, ‒ там палітызаваная літаратура патрэбна, можа, у меншай меры. Там літаратура можа дазволіць сабе захапляцца нейкімі драбніцамі жыцця, але каб у нас...",Васіль Быкаў,dumki.org,на захадзе дзе сацыяльныя канфлікты невялікія дзе чалавек дасягнуў многага – ну калі не цалкам шчаслівага дык хоць бы забяспечанага жыцця ‒ там палітызаваная літаратура патрэбна можа у меншай меры там літаратура можа дазволіць сабе захапляцца нейкімі драбніцамі жыцця але каб у нас
"[пытаньне : «вас не хвалюе, што большасуь людзей чытае дэтэктывы і фантасціку? »] большасць чытае дэтэктывы? Я вам скажу, што яшчэ больш людзей есць улетку агуркі ці п’е гарэлку...",Васіль Быкаў,dumki.org,пытаньне «вас не хвалюе што большасуь людзей чытае дэтэктывы і фантасціку » большасць чытае дэтэктывы я вам скажу што яшчэ больш людзей есць улетку агуркі ці п’е гарэлку
"Чалавек сталага ўзросту вельмі рызыкуе, калі выносіць нейкія ацэнкі моладзі: яны заўсёды будуць несправядлівыя",Васіль Быкаў,dumki.org,чалавек сталага ўзросту вельмі рызыкуе калі выносіць нейкія ацэнкі моладзі яны заўсёды будуць несправядлівыя
"Як сказаў адзін мой знаёмы медык, гэта не эканоміка, гэта клініка. Мабыць, ён правы",Васіль Быкаў,dumki.org,як сказаў адзін мой знаёмы медык гэта не эканоміка гэта клініка мабыць ён правы
"Як гэта ні сумна, трэба прызнаць, што гісторыя сапраўды нічому не вучыць. Зараз, як і заўжды, наперадзе культуры і нават наперадзе эканомікі зноў ідэалогія з яе імперскай палітыкай, якія спакваля падпарадкоўваюць сабе ўсё, у тым ліку і правы чалавека",Васіль Быкаў,dumki.org,як гэта ні сумна трэба прызнаць што гісторыя сапраўды нічому не вучыць зараз як і заўжды наперадзе культуры і нават наперадзе эканомікі зноў ідэалогія з яе імперскай палітыкай якія спакваля падпарадкоўваюць сабе ўсё у тым ліку і правы чалавека
"Я веру, што Беларусь жыве і будзе жыць. Зробім-жа ўсё дзеля гэтага",Васіль Быкаў,dumki.org,я веру што беларусь жыве і будзе жыць зробім жа ўсё дзеля гэтага
"Талент ‒ гэта труба, вечавы звон, барабан, але не жалейка і не свісцёлка... ён з'яўляецца на свет не для таго, каб усыпляць элегіямі, а каб гучаць як сігнал трывогі",Васіль Быкаў,dumki.org,талент ‒ гэта труба вечавы звон барабан але не жалейка і не свісцёлка ён з яўляецца на свет не для таго каб усыпляць элегіямі а каб гучаць як сігнал трывогі
"Напэўна, самае дзейснае, самае практычнае ‒ прымусіць чалавека заглянуць у сябе, прымусіць яго ўбачыць, які ён ёсць, што ў ім ёсць подлае, а што добрае. Калі ён разбярэцца ў сабе з дапамогай мастацтва, то і будзе вынік",Васіль Быкаў,dumki.org,напэўна самае дзейснае самае практычнае ‒ прымусіць чалавека заглянуць у сябе прымусіць яго ўбачыць які ён ёсць што ў ім ёсць подлае а што добрае калі ён разбярэцца ў сабе з дапамогай мастацтва то і будзе вынік
"Талент мае права гаварыць народу ўсю праўду пра яго існаванне, часам горкую праўду",Васіль Быкаў,dumki.org,талент мае права гаварыць народу ўсю праўду пра яго існаванне часам горкую праўду
"Няхай на іхнім баку перамога, але на нашым баку — ісціна. Праўда, з якой выстаім!",Васіль Быкаў,dumki.org,няхай на іхнім баку перамога але на нашым баку — ісціна праўда з якой выстаім
"Я добра памятаю той дзень і час, калі ня толькі я, а ўвогуле, я так лічу, і народ, страціў свабоду. Гэта, канешне, для майго пакаленьня было на пачатку 30-х гадоў. Суцэльная калектывізацыя краіны... Ня толькі свабода, але было страчана і ўсё, зьвязанае зь ёй. Адбылася, увогуле, клясычная зьява – зьнікла свабода і, як вынік таго, зьнік хлеб. Народ на доўгія дзесяцігодзьдзі ўпаў у паласу хранічнае галадоўкі. Але рэч яшчэ ў тым, ці адчуваў ён узаемазалежнасьць свабоды і хлеба? Наўрад ці. Хаця тое выдатна разумелі бальшавіцкія кіраўнікі, якія ўпарта цьвердзілі пра ""новую клясавую свабоду"", якой яны ў 17-м годзе дамагліся дзеля народу. Тое, вядома, было мана, і яны ведалі тое. Мабыць, гэта разумеў і адчуваў народ, але не хацеў верыць самому сабе, бо мана была прыгажэйшая за рэчаіснасьць, прыгажэйшая за свабоду, а можа, і за хлеб таксама",Васіль Быкаў,dumki.org,я добра памятаю той дзень і час калі ня толькі я а ўвогуле я так лічу і народ страціў свабоду гэта канешне для майго пакаленьня было на пачатку 30 х гадоў суцэльная калектывізацыя краіны ня толькі свабода але было страчана і ўсё зьвязанае зь ёй адбылася увогуле клясычная зьява – зьнікла свабода і як вынік таго зьнік хлеб народ на доўгія дзесяцігодзьдзі ўпаў у паласу хранічнае галадоўкі але рэч яшчэ ў тым ці адчуваў ён узаемазалежнасьць свабоды і хлеба наўрад ці хаця тое выдатна разумелі бальшавіцкія кіраўнікі якія ўпарта цьвердзілі пра новую клясавую свабоду якой яны ў 17 м годзе дамагліся дзеля народу тое вядома было мана і яны ведалі тое мабыць гэта разумеў і адчуваў народ але не хацеў верыць самому сабе бо мана была прыгажэйшая за рэчаіснасьць прыгажэйшая за свабоду а можа і за хлеб таксама
"Менавіта нацыяналізм, паводле Фрэнсіса Фукуямы, найбольш спрычыніўся да вызваленьня народаў ад камуністычнай дыктатуры. Не лібэралізм, не дэмакратыя – а менавіта нацыяналізм заняволеных камунізмам народаў. Там, дзе гэты працэс быў завершаны, зьявілася магчымасьць пераходу да дэмакратычнага лібэралізму, а дзе не завяршыўся, дзе стаўся затрыманы рэакцыйнымі сіламі – там нацыяналізм па-ранейшаму надзённы. Бо толькі нацыяналізм з найбольшай выніковасьцю здольны аб”яднаць сілы грамадзтва ў ягоным дэмакратычным разьвіцьці",Васіль Быкаў,dumki.org,менавіта нацыяналізм паводле фрэнсіса фукуямы найбольш спрычыніўся да вызваленьня народаў ад камуністычнай дыктатуры не лібэралізм не дэмакратыя – а менавіта нацыяналізм заняволеных камунізмам народаў там дзе гэты працэс быў завершаны зьявілася магчымасьць пераходу да дэмакратычнага лібэралізму а дзе не завяршыўся дзе стаўся затрыманы рэакцыйнымі сіламі – там нацыяналізм па ранейшаму надзённы бо толькі нацыяналізм з найбольшай выніковасьцю здольны аб”яднаць сілы грамадзтва ў ягоным дэмакратычным разьвіцьці
"Не дасі адразу адпор ‒ неўзабаве ўзаб'юцца на карак і будуць ехаць, колькі каму захочацца",Васіль Быкаў,dumki.org,не дасі адразу адпор ‒ неўзабаве ўзаб юцца на карак і будуць ехаць колькі каму захочацца
"Яны самi сябе павiнны прыкончыць. Рана цi позна. Як павукi ў банцы. Калi ў банку да iх кiнуць, напрыклад, шаршня, яны ўсе наваляцца на яго i заб’юць у момант. А калi iх там не чапаць ‒ самi сябе пажруць. Бо нiкога ня жраць яны ня могуць",Васіль Быкаў,dumki.org,яны самi сябе павiнны прыкончыць рана цi позна як павукi ў банцы калi ў банку да iх кiнуць напрыклад шаршня яны ўсе наваляцца на яго i заб’юць у момант а калi iх там не чапаць ‒ самi сябе пажруць бо нiкога ня жраць яны ня могуць
"У грамадзтве, дзе кожны трэці – камуніст, а кожны другі – сексот, цяжка разьлічваць на перамогу дэмакратычнымі сродкамі",Васіль Быкаў,dumki.org,у грамадзтве дзе кожны трэці – камуніст а кожны другі – сексот цяжка разьлічваць на перамогу дэмакратычнымі сродкамі
"Падпісаньне саюзнай дамовы – гэта ня толькі сумная справа, гэта ўвогуле злачынства стагодзьдзя. Гэта, безумоўна, генацыд беларускай нацыі – канец яе гісторыі",Васіль Быкаў,dumki.org,падпісаньне саюзнай дамовы – гэта ня толькі сумная справа гэта ўвогуле злачынства стагодзьдзя гэта безумоўна генацыд беларускай нацыі – канец яе гісторыі
"Апошнімі гадамі ў Беларусі выпрацоўваюцца мадэлі таталітарызму, якія потым дзейнічаюць у Расеі",Васіль Быкаў,dumki.org,апошнімі гадамі ў беларусі выпрацоўваюцца мадэлі таталітарызму якія потым дзейнічаюць у расеі
"Жульніцкія і шулерскія прыёмы не раскрываюцца, а яны, безумоўна, мелі месца ў беларускіх выбарах... У нас да гэтага часу камуністы ходзяць з партрэтамі Леніна-Сталіна. А наперадзе іх ідзе прэзыдэнт Лукашэнка. Беларусь выпала з нармальнага, натуральнага гістарычнага эўрапейскага працэсу. Беларусь – гэта анамалія... Выйсьце для яе – наперадзе, а яна каціцца назад. Таму інакш як самагубства я не магу гэта расцаніць",Васіль Быкаў,dumki.org,жульніцкія і шулерскія прыёмы не раскрываюцца а яны безумоўна мелі месца ў беларускіх выбарах у нас да гэтага часу камуністы ходзяць з партрэтамі леніна сталіна а наперадзе іх ідзе прэзыдэнт лукашэнка беларусь выпала з нармальнага натуральнага гістарычнага эўрапейскага працэсу беларусь – гэта анамалія выйсьце для яе – наперадзе а яна каціцца назад таму інакш як самагубства я не магу гэта расцаніць
"Нацыянальная сымболіка – атрыбут нацыі. Але яе ў нас скралі, нахабна абрабавалі нацыю, што страшней за эканамічны рабунак і аналягічна нацыянальнаму генацыду. Ужо адно тое, ня кажучы пра рабунак свабоды, робіць рабаўнікоў злачынцамі – злачынцамі перад нацыяй. Нават калі яны спрабуюць падмяніць, падкласьці замест сьвятыні фальшыўку і патрабаваць да яе павагі як да сьвятыні. Гэта ўжо падвоенае злачынства",Васіль Быкаў,dumki.org,нацыянальная сымболіка – атрыбут нацыі але яе ў нас скралі нахабна абрабавалі нацыю што страшней за эканамічны рабунак і аналягічна нацыянальнаму генацыду ужо адно тое ня кажучы пра рабунак свабоды робіць рабаўнікоў злачынцамі – злачынцамі перад нацыяй нават калі яны спрабуюць падмяніць падкласьці замест сьвятыні фальшыўку і патрабаваць да яе павагі як да сьвятыні гэта ўжо падвоенае злачынства
"Мне цяжка працаваць там, дзе няма свабоды",Васіль Быкаў,dumki.org,мне цяжка працаваць там дзе няма свабоды
"Невялікі спакойны кут, пісьмовы стол, белае папера – гэтага хапае мне. Ня менш важная і ўпэўненасьць у тым, што мяне сярод дня ня схопяць на вуліцы незнаёмыя людзі, якім за гэта заплацілі. Я стары і ня ведаю, ці дачакаюся зьвяржэньня дыктатара Лукашэнкі",Васіль Быкаў,dumki.org,невялікі спакойны кут пісьмовы стол белае папера – гэтага хапае мне ня менш важная і ўпэўненасьць у тым што мяне сярод дня ня схопяць на вуліцы незнаёмыя людзі якім за гэта заплацілі я стары і ня ведаю ці дачакаюся зьвяржэньня дыктатара лукашэнкі
"Калі б Беларусь была менавіта незалежная, няхай бы яна была бедная, неразьвітая, адсталая ці слаба разьвітая – але калі б яна мела незалежнасьць, усё астатняе прыклалася б. А пакуль што яна не Беларусь, яна проста ператвараецца ў чарговую губэрню Расеі. Хіба не пра гэта сьведчыць уся палітыка сучаснага беларускага рэжыму?",Васіль Быкаў,dumki.org,калі б беларусь была менавіта незалежная няхай бы яна была бедная неразьвітая адсталая ці слаба разьвітая – але калі б яна мела незалежнасьць усё астатняе прыклалася б а пакуль што яна не беларусь яна проста ператвараецца ў чарговую губэрню расеі хіба не пра гэта сьведчыць уся палітыка сучаснага беларускага рэжыму
"Цяпер ідзе разгром нацыянальнай культуры. Беларускую мову, і без таго пераўтвораную ў помесь, ў трасянку, улады канчаткова перасталі падтрымліваць і сказалі, што яна ім непатрэбная",Васіль Быкаў,dumki.org,цяпер ідзе разгром нацыянальнай культуры беларускую мову і без таго пераўтвораную ў помесь ў трасянку улады канчаткова перасталі падтрымліваць і сказалі што яна ім непатрэбная
"Праўда ў гісторыі ‒ функцыя адназначная, з яе робяць урокі. З хлусні ніякіх урокаў не зробіш, апроч новай хлусні",Васіль Быкаў,dumki.org,праўда ў гісторыі ‒ функцыя адназначная з яе робяць урокі з хлусні ніякіх урокаў не зробіш апроч новай хлусні
"Я ‒ беларус, мая родная мова ‒ беларуская",Васіль Быкаў,dumki.org,я ‒ беларус мая родная мова ‒ беларуская
"Верныя рыцары рашучай фразы, яны сьпярша ап'янілі тых, хто іх слухаў на ўсіх тых шматлюдных мітынгах, а затым неўпрыцям і самі паверылі ў свае прыгожыя словы. Калі ж і самі сталі нявольнікамі ўласных хмельных прамоваў, тады ўжо нічога нельга было ні спыніць, ні перайначыць",Васіль Быкаў,dumki.org,верныя рыцары рашучай фразы яны сьпярша ап янілі тых хто іх слухаў на ўсіх тых шматлюдных мітынгах а затым неўпрыцям і самі паверылі ў свае прыгожыя словы калі ж і самі сталі нявольнікамі ўласных хмельных прамоваў тады ўжо нічога нельга было ні спыніць ні перайначыць
