category,proverb
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,У суседстве жыць — адзін другому служыць.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"З голага нічога не возьмеш. 
а) 3 голага няма чаго ўзяць. 
б) Трудно што ўзяць з голага. 
в) 3 голага, як са святога, — нечага ўзяць."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Бяда заўсёды ў пары ходзіць.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не варта за тое, што есць."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Страшан, як мангол."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,"У том Луцку ўсё не па-людску: наакал вада, a ў сярэдзіне бяда."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",На дурны вецер мякіны не нагатовіш.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Як асінка затрасецца, тады волік напасецца (нап'ецца)."
СЕЛЬСКАЯ ГАСПАДАРКА,"На полі родзіць, калі сам хадзяін па полі ходзіць."
ПРОМЫСЛЫ I РАМЕСТВЫ,"У рыбака голы бака, але панскі абед, a ў стральца дьш густы, але абед пусты."
ПРАЦА,Работа не ўстыд.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Адну дзірку ладзь, а другая туды ж глядзь."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Яшчэ то не пекла, калі так цёпла."
ХАРЧАВАННЕ,"Салому сячэ, пірагі пячэ, сенам падмазвае."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Сярмяга — не знявага, а жупан — не пан. 
а) Белая сярмяга — не знявага, a сіні жупан — не вялікі пан."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Хто прасцікуе, той дома не начуе. 
а) Хто дарогу прастуе, той у дому не начуе. 
б) Хто дарогу кружыць, ніколі не тужыць, а хто прастуе, удома не начуе."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,На чужой старане i на печы холадна.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Бліжы к цару — бліжы к смерці, бліжы к пану — бліжы к кію."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",У чужой парахвіі нечага ўказываць.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Яго званіца вышэй — з яе далей відаць.
ЗАКОНЫ. ТУРМА,Дужы i багаты — не вінаваты.
СЛУЖБА. НАЙМЫ,"Был! б пабразкачыя, а паслугачыя будуць. 
а) Былі б пабразгачыя, а паслугачыя заўсёды знайдуцца."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Удар аб стол — нажычкі адгукнуцца.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не купі двара, a купі суседа."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У бяскудлага не пажывішся хахлом.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Па бядзе дзве бядзе.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не на тое купляў, каб аддаваў."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Рана татарам на Русь ісці.
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Аж Варшаву відно.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Куда вецер, туда i дождж. 
а) Куды вецер, туды i дым."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Вясна — маці, а лета — бацька."
СЕЛЬСКАЯ ГАСПАДАРКА,Гаспадарка — клапатарка.
ПРОМЫСЛЫ I РАМЕСТВЫ,"Хто рыбу вудзіць, гаспадаром не будзець."
ПРАЦА,Праца нікога не крыўдзіць.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Усіх дзюраў ніколі не залатаеш: адну залатаў, то дзве прадзярэцца."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Параных не бачылі, а мерзлых часта. 
а) Паранага не відзелі мертвяца, а мерзлага часта."
ХАРЧАВАННЕ,Прыйшлі важныя весці: няма чаго есці.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Як ба не балахон, душа вон."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Хто круг накладае, той на сваей падушцы голаў прыкладае."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,Чужая старана прыбавіць ума.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не дзіва, што ў пана жонка гладкая."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","У чужой царкве не папраўляй свячэй. 
а) У чужой цэркві (чужым касцёле) свечак не папраўляй."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Чым менш блыха, тым горш дапякае. 
а) Чым меней блыха, тым мацней кусае."
ЗАКОНЫ. ТУРМА,"Хто дужэй, тэй пружэй. 
а) Хто дужшы, той лепшы."
СЛУЖБА. НАЙМЫ,На карчы патрэбны добры я харчы.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Як людзі, так i мы."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Добры сусед, як сытны абед."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Хапіў голага за пазуху. 
а) Будзе й голаму за пазуху."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Бяда на бядзе едзе.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Куплена — не спорна.
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Татарскі сын вялікі, але дурань."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Варшаўская работа.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Кажын гад цяплу рад.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Вясна-красна багата цвятамі, а лета — снапамі."
СЕЛЬСКАЯ ГАСПАДАРКА,Гаспадарка свет корміць.
ПРОМЫСЛЫ I РАМЕСТВЫ,"Хто рыбу вудзіць, у таго хлеба не будзець."
ПРАЦА,"Ад навукі галава не баліць, ад работы рукі не сохнуць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Як ест — разыйдзецца, як няма — абыйдзецца."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Ад цеплыні цела млее, ад холаду свяжэе."
ХАРЧАВАННЕ,"Аці, аці, да нечага даці. 
а) Аці, аці, няма ўжо чаго даці. 
б) Не за што сказаць аці, калі няма чаго ў рот узяці."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Свая сярмяжка не цяжка.
а) Свая сярмяжка нікому не цяжка. 
б) Свая сярмяжка не важка."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Паедзеш напрасцень — прастаіш цэлы дзень. 
а) Як паедзеш у аб'езд, прыедзеш пад абед; а як паедзеш напрасцень, прастаіш цэлы дзень."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"На чужынё i голуба варонаю назавуць. 
а) На чужой старане i сокала завуць варонай."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Наша пані — бяздонная бочка, ніколі яе не наталіш."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",У свежу парафію з сваім звычаем не прыходзь.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Малы жук, a вялік гук."
ЗАКОНЫ. ТУРМА,У судзе багаты рэдка вінаваты.
СЛУЖБА. НАЙМЫ,Нам трэба грошы i прадукт харошы.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Т о людзям, то i нам."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Добра, як сусед блізка i пералаз нізка."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У яе за пазухаю вош пішчыць.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда бяду вязе. 
а) Бяда бяду вядзе, а трэцяя паганяе. //ос, //;"
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Для яго добра толькі абаранак купіць.
а) Добра каму толькі абаранак купіць, бо як не да спадобы, то сам з'ясі. 
б) Добра каму толькі абаранак купіць, анно як не спадабаецца, сам з'ясі.
в) Добра каму абаранка купіці: не возьме, то сам з'еш. 
г) На людзей толькі пірог харашо купіць: не спадабаецца — сам з'ясі. 
д) На людзей пакупай толькі калач, — калі няўдача, сам i з'еў."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Арду твораць.
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,I ў Парыжу не зробяць аўса з рыжу.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Не ni, не еш i з печы не лезь.
а) Не ni, не еш i з хаты не лезь. 
б) Тры дні не ni, не еш, а з хаты не лезь."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Багата вясна кветкамі, а восень палеткамі."
СЕЛЬСКАЯ ГАСПАДАРКА,"Не раса родзіць, а пот."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рыбы многа, хлеба мала."
ПРАЦА,Работа чалавека не ганіць.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Час плаціць, час траціць. 
а) Рок плаціць, рок траціць."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Куравая хатка дыму не баіцца.
ХАРЧАВАННЕ,"Сем раз еў, але i разу за сталом не сядзеў."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",У кажуху ў лазні не мыюцца.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Напрамую толькі варона лятае.
а) Прама варона лятае, ды дома не начуе. 
б) Сарока напрамкі (напрасткі) лятае, ды дома ніколі не бывае."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,На чужой старонцы рад сваей варонцы.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","У куццю глядзеў, як паны ядуць."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Бацюшку i петуху — пей i пей.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Над пешым арлом i сарока з калом.
ЗАКОНЫ. ТУРМА,"Пан i тады праў, як сведак чорт маў."
СЛУЖБА. НАЙМЫ,Рабіцьмеш фільгуючы — заплацяць дзянькуючы.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Што міру, тое й бабінаму сыну. 
a) Што ўсяму міру, то i бабінаму сыну."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Блізкі сусед лепш дальняй радні. 
а) Лепш блізкі сусед, чым далёкі родзіч."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У яго за душою няма зломанага гроша.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Бяда за бядою ходзіць з калядою.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Базарынкі нішчуць скрынкі.
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Map два апанавала.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","От пагода: дзень каза, дзень казёл."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Вясна кветкамі багата, а восень з пірагамі ў хату."
СЕЛЬСКАЯ ГАСПАДАРКА,"Пільнуй гаспадаркі — будуць у гаршку скваркі. 
a) Пільнуй гаспадаркі — будзе хлеб, будуць i прываркі."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Кагда рыбна, то галодна."
ПРАЦА,"Праца не наганіць, a корміць. 
а) Праца не паганіць чалавека, a корміць, поіць i вучыць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Адзін дзень аглобляй падважвай, a другі дзень — як з прывязі сарваўся."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Шмат дыму — мала пылу.
ХАРЧАВАННЕ,"Ешце, дзеткі, крупеня тлусценькая: два яечкі варыліся."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Шуба грэння не любіць.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Па доўгай дарозе йшоў, пад абед не падышоў."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"З роднага краю i варона міла. 
а) 3 роднага боку i варона мілая."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","У мужыка гора, a ў пана горы ў каморы."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Поп запяе, а каваль закуе."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Вышы лба глаза не лезуць.
ЗАКОНЫ. ТУРМА,"Што яму законы, калі суддзя знаёмы? 
а) Які тут закон, калі суддзя знаком?"
СЛУЖБА. НАЙМЫ,"Як зробіш, так i заробіш."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Калі сядзіць на раду, то іграць у дуду."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Без брата пражывеш, а без суседа не ймеш."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"У скупкі возьмеш, a ў неткі ніколі."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Чорт адну бяду перабудзець, адна мінець, дзесяць будзець.
а) Чалавек адну бяду перабудзець, а дзесяць ix прыбудзець.
б) Хто бяду перабудзе — адна міне, дзесяць будзе. 
в) Кадук бяду перабудзе — адна згіне, дзесяць будзе."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Базаркі — кароткія падаркі.
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Погань апанавала.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",У паганую пагоду добры хазяін i сабаку з двара не гоніць.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Вясна красна цвятамі, а восень пладамі."
СЕЛЬСКАЯ ГАСПАДАРКА,Добры гаспадар з вясны б'е ток.
ПРОМЫСЛЫ I РАМЕСТВЫ,Рыба — хіба.
ПРАЦА,"Работа не бясчэсціць чалавека, a крэпіць i цешыць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Шырокі двор, да невялікі збор."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Зімна ў хаце, хоць ваўкі ганяй."
ХАРЧАВАННЕ,"У печы гарыць, як у пана, а варыцца, як у цыгана."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Прышпіліў квятушку да кажушку — зрабілася цёпла.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Хадзі простаю сцежкаю, то не заблудзіш."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Хоць у Арле, была б у дабрэ."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",У пана печаныя ракі самы прысмакі.
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Загрызла папа грамата.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Лепей пакланіцца галаве, як нагам."
ЗАКОНЫ. ТУРМА,Прычапіся к багатаму — адкупіцца.
СЛУЖБА. НАЙМЫ,"Што зарабіў, тое й атрымаеш."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Папаў у вараннё — крычы, як яно.
а) Папаў у вараны — крычы, як яны.
б) Папаў у вараны — кракай, як яны. 
в) Улез у вароны, гракай як i оны."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не мяняй бліжняга суседа на дальняга роднага брата: к брату дальняму не пабягіш, када табе што нужна, а к бліжняму суседу."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Багат Цімошка: сабака да кошка.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",На ўсякую бяду не наплюешея.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Прадаць — адны лапці стаптаць, купіць — трэба дзесяць знасіць. 
а) Прадаць то латво, a купіць трудно."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Узяла погань моц.
а) Што зрабіць, калі ўзяла погань моц? 
б) Ніц ужэ не парадзіш, калі погань моц узяла."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Кот на печку — сцюжа на двор. 
а) Як кот на пячы — халодна на двары."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Вясной i удод запяе.
СЕЛЬСКАЯ ГАСПАДАРКА,"Гаспадарка маўчыць, але шыйку танчыць."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Лавіў, лавіў, а ад кошкі нечым адбараніцца."
ПРАЦА,Дзела дзелу вучыць.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Тады хазяйка дужа, як кораб служа."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Надвор'я нечага тапіць.
ХАРЧАВАННЕ,"Што па тэй чэсці, калі нечага есці."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Блізшая сарочка, як кабат.
а) Кашуля бліжэй, чымсь кабат. 
б) Бліжэй сарочка к целу, чымсі кабат."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Шануй горы й мосты — будзець галава проста.
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,Места здабыў — пра ўсё забыў.
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Халопскае дзела есць, а панскае піць. 
а) Халопскае права есць, а панскае піць."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Поп на дзве абедні не служыць.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Скарб багацей нас.
ЗАКОНЫ. ТУРМА,"Багаты выкупіцца, а бедны выпрасіцца."
СЛУЖБА. НАЙМЫ,Не заробіш — не палучыш.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"I з звярмі звыкаюцца жыць, не толькі з людзьмі."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"I дружба, i забава — суседская справа."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Няма нічога, анно набітніцы."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","На дзень лады, а на дзень бяды. 
а) На дзень гайды, а на век бяды."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не там траціш, дзе прадаеш, а там, дзе купляеш. 
а) Не там траціць, дзе прадаваць, а там, гдзе купляць."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Не за дзень Вільня станавілася. 
а) Не адразу Вільня будавалася."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Марозік крэпне — лёд таўсцее.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Які сакавік, такі красавік."
СЕЛЬСКАЯ ГАСПАДАРКА,Гультая зямля не любіць.
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рыбачыў, рыбачыў, а рыбы й не ўбачыў."
ПРАЦА,"Той не памыляецца, хто ад працы хіляецца. 
а) Той не памыляецца, хто нічога не робіць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Калі ў хлебе плодзіць i на ніве родзіць, так i дурак хату водзіць."
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Там у Саўкі печкі i лаўкі. 
а) Ён там i днюе i начуе: там яго i печкі i лаўкі."
ХАРЧАВАННЕ,"Благая чэсць, калі нечага есць."
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Бліжэй кашуля, чым андарак."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Заедзем не за дзень, дык за тыдзёнь. 1950,"
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Там добра, дзе нас няма. 
а) Усюду добра, дзе нас нет. 
б) Цікава там, дзе нас няма."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Паны не свінні — усё з'ядзяць.
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Мы ведаем без папа, што ў нядзелю свята. 
а) Вядома i без папа, што ў нядзелю свята."
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Казна на слёзы не глядзіць.
ЗАКОНЫ. ТУРМА,"Багачу красць, а беднаму бажыцца."
СЛУЖБА. НАЙМЫ,"Якая работа, такая заплата. 
а) Які рабоцька, такая i плата. 
б) Якая праца, такая плаца."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Не ўсё, як у людзей."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Бліжняга суседа пасадзі ўпярод усіх.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Дай таго, чаго няма."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Дзяды не відалі бяды.
а) Дзяды не бачылі бяды. 
б) Жывуць дзяды, не знаюць бяды."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Часць плаціць, часць траціць."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",A ў нашай Польшы кажан хоча быць большы.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Мароз стучыць — калядкі галосяць. 
а) Марозы — калядкі галосяць."
