category,proverb,number,book_page
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","На дварэ мароз, а пад носам адлега",82,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"У марцы яшчэ мерзнуць старцы
а) У марцы памерзнуць старцы",367,78
СЕЛЬСКАЯ ГАСПАДАРКА,Зямлі кланяйся ніжэй — будзеш да хлеба бліжэй,913,120
ПРОМЫСЛЫ I РАМЕСТВЫ,Рыбак рыбака бачыць здаляка,1324,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Свой дварочак, як вяночак",81,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Свая салома мякчэй чужой пярыны,396,215
ХАРЧАВАННЕ,"Дажыліся нашы браты: ні хлеба, ні хаты",512,223
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Хоць папросту, але ў сваім",1106,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"б) Хто спытаець, той не заблудзіцца",1247,281
РАДЗІМА. ЧУЖЫНА,"На чужой старане i жук—мяса, i старую бабу маладзіцаю  назавеш
а) У чужом баку жук — мяса, баба — божы дар",81,293
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Што мужык кідае да долу, тое пан носіць у кішэні",184,301
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",У святых айцоў не знойдзеш канцоў,574,332
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Хоча драць з аднаго вала дзве скуры
а) 3 аднаго вала дзвёх шкур не дзяруць",732,345
СУД. ЗАКОНЫ. ТУРМА,На суд паставіў за сябе брахунца,848,354
СЛУЖБА. НАЙМЫ,"Служы верна, а плата мерна",970,363
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Адно вока бачыць далека, а два — яшчэ далей",1105,374
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Пусці суседа ў хату, то сам выбірайся з хаты
а) Пусці падсуседа ў хату, а сам з хаты",1271,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Чорт дзірку находзіць,1578,411
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Дзяды не відалі бяды
а) Дзяды не бачылі бяды",1966,443
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Купляць не куплялі, толькі час змарнавалі",2198,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","На Саса было хлеба i мяса
а) За Саса было досыць хлеба i мяса",2666,502
ПРАЦА,Работа ад зубоў балення,1551,169
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Мароз, не цісні за нос",83,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Настаў марац, зморшчыўся старац",368,78
СЕЛЬСКАЯ ГАСПАДАРКА,"Малая пашэнька, ды ўбяры харашэнька",914,121
ПРОМЫСЛЫ I РАМЕСТВЫ,Рыбак рыбку відзіць здалека,1325,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Хоць бы мы морам плылі, абы б скарэй  ва  дварэ былі",82,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","I на мулкам выспішся, калі спаць хочацца",397,215
ХАРЧАВАННЕ,"У агародзе мак, а ў гаршку так",514,223
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Хоць дзіравае, ды свае",1107,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"в) Хто пытае, той не блукае",55,281
РАДЗІМА. ЧУЖЫНА,На чужой старане i рак рыба,82,293
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","а) Што мужык на землю кіне, то пан тое ў кішэнь схавае",380,301
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Папу i сабаку ўсё вольна,575,332
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Хоць засіліся, а падай",733,345
СУД. ЗАКОНЫ. ТУРМА,"Сусед пазнаў, што злодзей украў",849,354
СЛУЖБА. НАЙМЫ,"Служы верна, крадзі мерна",971,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Калі робіш укупе, не баліць у пупе
а) Працуючы ўкупе, не забаліць у пупе",1106,374
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не выкурыш з хаты падсуседа
а) Падсуседа i дымам не выкурыш",1272,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Вялікая дзірка, да малая накрыўка",1579,411
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","б) Жывуць дзяды, не знаюць бяды",1966,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не ганячы, не купіш, не хвалячы, не прадасі",2199,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","За Саса было досыць хлеба i мяса, a настаў Панятоўскі,  стаў хлеб не такоўскі
а) За круля Саса наеліся людзі хлеба i мяса, а за Панятоўскага не стала нідзе i падла конскага",2667,503
ПРАЦА,"Не вялік муравей, ды горы варочае
а) Мурашка невялікая, а горы капае",1552,169
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Мароз, сто пудоў на воз",84,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Прыдзець марац, не адзін заплачаць  старац",369,78
СЕЛЬСКАЯ ГАСПАДАРКА,Яго доля ў канцы поля,915,121
ПРОМЫСЛЫ I РАМЕСТВЫ,Рыбак дажджу не баіцца,1326,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Шырокія варота ўвайсці,  да  вузкія  выйсці",83,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Пусткаю хата смярдзіць,398,215
ХАРЧАВАННЕ,"Ёсцека макацёр, да мак не спор",515,223
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Няхай сабе латы, абы не хваты
а) Хоць латана, абы не хватана",1108,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Пытаючыся, дапытаешся",1248,281
РАДЗІМА. ЧУЖЫНА,"Як тут не мёд, так там не піва",83,293
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Усё нос уцірае, бо на той час хустку мае",185,301
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Старасць не радасць, а поп не таварыш",576,332
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Бізун да падаткі — панскія парадкі,734,345
СУД. ЗАКОНЫ. ТУРМА,Даказчыку  першая чарка i першая  палка,850,354
СЛУЖБА. НАЙМЫ,"Дзела кончана, ды не верхавата вышла",972,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Семера аднаго не ждуць,1107,374
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Бадай, ніхто добры не сядзеў у чужой хаце
а) Бадай, ніхто добры ў чужом кутку не сядзеў",1273,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Адну дзірку лапіш, а другая глядзіць",1580,411
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Нашы дзяды не зналі бяды, але ж унукі набраліся мукі
а) Дзяды не зналі бяды; насталі ўнукі, набяруцца мукі",1967,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Есць — прадаў бы, няма — купіў бы",2200,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ",Варт Пац палаца i палац Паца,2668,503
ПРАЦА,"Работа так не грозна, як забота",1553,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Мароз сем баб павёз,85,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Цешыўся старац, што перажыў марац; ажио i ў маю нясуць яго да гаю
а) Радаваўся старац, што перажыў марац, а прыйшоў  май — паняслі старца ў гай",370,78
СЕЛЬСКАЯ ГАСПАДАРКА,"Не поле радзіць, a ніва",916,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"Хочаш, каб рыбу лавіў i не памачыўся",1327,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Сем варот, усе на агарод",84,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",На сем двор адзін тапор,399,215
ХАРЧАВАННЕ,Раскусіла ў гаросе лапаткі,516,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Мае латы перабудуць чужыя шаты,1109,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Дарогі пытаець, а сам большы таго знаець",1249,281
РАДЗІМА. ЧУЖЫНА,"Як тут не смятана, так там не сыроватка",84,293
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Сядзіць на рагожы, а кажа,  што ў пана гожы",186,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",3 папом дружыць — дурнем быць,577,332
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Не плаціць багаты, але вінаваты",735,345
СУД. ЗАКОНЫ. ТУРМА,"Бог любіць праведніка, a гаспадзін любіць ябедніка",851,354
СЛУЖБА. НАЙМЫ,"Лепш у багатага служыць за клямку, як у беднага з ім за  сталом седзячы",973,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Калі сабраўся, за намі не баўся",1108,374
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Маеш прыняць у хату падсуседку, то лепш барану на том  месцы пастаў
а) Хто мае суседку ў хату пусціць, то няхай лепей борану  на том месцы паставіць",1274,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Як жыў, то i тужыў",1581,411
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда не раве, да спаць не дае",1968,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Купіў — не прапіў,2201,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Пане Грыгоры, што далей, то горай
а) Пане Грыгоры, што рок, то горы",2669,503
ПРАЦА,"Кожнаму свая работа, кожнаму свая забота",1554,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Налічы сорак лысых i мароз усцішыш,86,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Сакавік дрэвам сок пускае,371,78
СЕЛЬСКАЯ ГАСПАДАРКА,"Пільнуй таго, з чаго хлеб ясі
а) Глядзі, з чаго хлеб ясі",917,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"Лыткі загаліў, а шчупака не злавіў",1328,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Мінаў, мінаў, да не ў тыя вароты папаў",85,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","На сем двор адзін тапор: адзін рубіць, а шэсцера ў кулак  трубяць",400,215
ХАРЧАВАННЕ,3 мяжы не замесіш дзяжы,517,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Мілыыа свая сарочка, як чужы кажух",1110,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Рынуўшы ў балота, не конь вінен",1250,281
РАДЗІМА. ЧУЖЫНА,"Што край, то абычай
а) Што ні край, то свой звычай",85,293
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Узяў у рукі біч да й думае, што паніч",187,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","Хто ідзе? — Чорт! — Добра, што хоць не поп",578,332
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"a) Плаціць не багаты, a вінаваты",735,346
СУД. ЗАКОНЫ. ТУРМА,Свой суд кароткі,852,355
СЛУЖБА. НАЙМЫ,"У парабках вякуючы, не разжывешся",974,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Праз аднаго барана ўсё стада пагана
а) АДна паршывая авечка ўсё стада запаганіць",1109,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не карай цябе, божа, нічым, анно суседам i другам ліхім",1275,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Не хваціўшы на душу, нечага палажыць i ў душу",1582,411
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда не дуда: пішчыць, а не грае",1969,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Мяняе быкі на індыкі
а) Прамяняў быка на індыка",2202,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Як казалі на мяне Грышку, то меў грошай крышку, а як  пачалі казаць пане Грыгорай, то ўжо што далей, то горай",2670,503
ПРАЦА,Работа не турбота,1555,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Вада i мельніцу ламае,87,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Калі ў марце зямля  ўбачыла  неба,  то не будзе хлеба
а) Калі жыта ў марцы глядзіць на неба — не есці тагды  хлеба",372,78
СЕЛЬСКАЯ ГАСПАДАРКА,"б) Глядзі за тым, з чаго ясі хлеб",1925,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"Пайду на раздабыткі, падняўшы лыткі
a) Пашоў у здабыткі, падвязаўшы лыткі",1329,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Двор не каза — не збяжыць
а) Дом не воўк — у лес не ўбяжыць",86,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Узяў тапор, вазьмі ж i тапарышча",401,215
ХАРЧАВАННЕ,"Не замесіш густа, як у клеці пуста",518,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Бліжэй к целу свая сярмяжка, чым чужая рубашка",1111,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Які ехаў, за тое i зачапіўся",1251,281
РАДЗІМА. ЧУЖЫНА,"в) Кажан край мае свой абычай
г) У кожнай старане свой звычай",85,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Які пан, такі i будан",188,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Чорт папу таварыш,579,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,К яму не едзь з голымі рукамі,736,346
СУД. ЗАКОНЫ. ТУРМА,Самасуд — не суд,853,355
СЛУЖБА. НАЙМЫ,Хлеб ды вада — батрацкая яда,975,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Адзін чорт ладтырквае, a ўсе круцяцца",1110,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Hi ў горадзе парука, ні ў дарозе таварыш, ні ў дзярэўні  сусед",1276,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Нехта ўспамінае, хто свайго не мае",1583,411
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Бяда як дуда: зачнеш дуць, аж слёзы набягуць
а) Бяда як дуда: станеш дуць, слёзы самі йдуць",1970,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,г) Мяняе быкі на бараны,343,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Не фігуруй,  Грышачка! Czeczot, 111; Шпил",2671,503
ПРАЦА,"Работа — не забота: забота, калі нет работы",1556,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Вада млыны i грэблю рве,88,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"У марцы, як у гарцы
а) У марцу бывае, як у гарцу",373,78
СЕЛЬСКАЯ ГАСПАДАРКА,"Трэба рана ўставаці, калі хлеба дажыдаці",918,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"I рыбы не хачу, i хваста не мачу",1330,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Хата не каўбаса — кошкі не з'ядуць,87,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Дома ашмёткам шчы хлябаець, a ложкі не маець",402,215
ХАРЧАВАННЕ,"Служыў — тужыў, а стаў гаспадарыць — не варыць, не  парыць",519,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Свой насоў цяплей чужога кажуха,1112,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Які едзе, такі й паганяе
а) Які чорт ехаў, такі й паганяў",1252,281
РАДЗІМА. ЧУЖЫНА,У добрым краю набярэш скора звычаю,86,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Узяў калі пан жонку, бярыся,  мужык, за хатомку",189,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Папы i чэрці адной шэрсці,580,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Ніхто не любіць з носам, а з прыносам
а) Не любяць з носам, а з прыносам",737,346
СУД. ЗАКОНЫ. ТУРМА,"Судзі мяне губернскі, а не баба дзеравенска",854,355
СЛУЖБА. НАЙМЫ,"Гадочкі выслужыў, сілу вымучыў, душу вытужыў",976,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Бярыся дружна — не будзе грузна,1111,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"У суседстве жывучы, усяка здараецца",1277,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Голь галіта голлю паліта,1584,412
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Як бяда бядзілася, то тады ўсё ладзілася",1971,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Змяняў шыла на Мыла,2203,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Быўшы ў Рыме, i папы не відзець
а) У Рыме быў, а папежа не бачыў",2672,503
ПРАЦА,"Ахота горы няволі
а) Ахота хужы няволі",1557,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Вада камень прабівае,89,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Сакавік мокры — хлеб будзе горкі,374,78
СЕЛЬСКАЯ ГАСПАДАРКА,Не марнуй часу дарэмна:  вясна пройдзе — не вернеш,919,121
ПРОМЫСЛЫ I РАМЕСТВЫ,Не замуціш вады -—не паймаеш рыбы,1331,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Не падпірай гнілога забора: ён усё роўна ўпадзе,88,191
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Чым гаршчок накіпіць, тым кажна страва смярдзіць",403,215
ХАРЧАВАННЕ,3 парожняга не насыпаць,520,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Бурное сабе пад нос,1113,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Як ехаў, так i спаткаў",1253,281
РАДЗІМА. ЧУЖЫНА,"Што край — то абычай, што старана — то навіна
а) Што старана — то навіна",87,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Белыя рукі чужой працай жывуць,190,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Не нам судзіць папа — на тое есцяка  чорт,581,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Хто ідзе з прыносам, а хто i так, з доўгім носам",738,346
СУД. ЗАКОНЫ. ТУРМА,"Насіў воўк, паняслі i воўка
а) Валачыў воўк авец (гавечкі), павалаклі (павалакуць) i  воўка",855,355
СЛУЖБА. НАЙМЫ,"Прыслужыўся, як дзядзька сучцы:  тая хвост незнарок  прытуліла да калодкі, а ён сякерай—гак! i адрубіў",977,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Дзе дружна да хаўрусна, там не грузна",1112,375
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Суседская справа — пасварыцца i памірыцца,1278,387
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Голы ў голага паляжаць просіцца,1585,412
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Як бяда, не смашна яда
а) Як прыдзе бяда, не палезе ў горла яда",1972,444
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Памяняў плеш на лысіну,2204,465
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Хто мову i веру мяняў, той не толькі сябе, a i маці прадаваў",2673,503
ПРАЦА,"Дзе быць, там трэба рабіць",1558,170
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Прыткая рака берагі падрываець,90,57
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Сакавік часамі снегам сее, a часамі сонцам грэе",375,78
СЕЛЬСКАЯ ГАСПАДАРКА,"Выходзь на поле з расой, дык будзеш з ядой",920,121
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рыбка ў рацэ, ды не ў руцэ
а) Рыба не ў руцэ, a ў рацэ",1332,152
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Рубі стаўбы — забор  сам  паваліцца,89,192
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Чым гаршчок нацягне новы, то тым i да старасці смярдзіць",404,215
ХАРЧАВАННЕ,3 парожняга не нальеш,521,224
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Усякае свае нямыта бела,1114,269
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Якія ехалі, такіх i падвезлі",1254,281
РАДЗІМА. ЧУЖЫНА,Іншы горад — іншы гонар,88,294
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Белыя ручкі чужую працу  любяць
а) Белыя рукі любяць чужыя мукі",191,302
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ","За папом чорт ходзіць следам, нібы цень",582,333
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,"Не садзі носа, дзе не даў гроша",739,346
СУД. ЗАКОНЫ. ТУРМА,"На воўка памоўка, а мядзведзь ні пры чым
а) На воўка памоўка, а паела рыбу лісічка",856,355
СЛУЖБА. НАЙМЫ,"Як хазяін скажа парабку,  то ён i воду  павінен таўкш",978,364
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Дзе дружна, там i хлебна",1113,375
